Time (Date hh:mm:ss.ms),L-Max dB -A,LEQ dB -A,L-Min dB -A,L-PeakdB -A
2025/03/28 11:51:00,54.223247,44.723247,33.923247,70.023247
2025/03/28 11:52:00,52.323247,43.323247,33.423247,69.323247
2025/03/28 11:53:00,64.123247,57.123247,50.323247,83.223247
2025/03/28 11:54:00,61.423247,55.123247,45.423247,84.123247
2025/03/28 11:55:00,67.023247,56.123247,48.023247,87.623247
2025/03/28 11:56:00,66.523247,56.723247,39.723247,90.023247
2025/03/28 11:57:00,59.623247,51.323247,41.623247,79.123247
2025/03/28 11:58:00,58.723247,49.923247,32.723247,77.123247
2025/03/28 11:59:00,55.323247,46.623247,31.923247,72.023247
2025/03/28 12:00:00,66.223247,51.523247,36.423247,89.123247
2025/03/28 12:01:00,62.223247,51.723247,41.323247,79.023247
2025/03/28 12:02:00,56.323247,47.523247,34.323247,73.823247
2025/03/28 12:03:00,58.523247,47.423247,33.323247,76.823247
2025/03/28 12:04:00,57.623247,48.523247,34.723247,77.123247
2025/03/28 12:05:00,55.523247,45.423247,38.323247,74.823247
2025/03/28 12:06:00,58.123247,47.923247,41.223247,74.623247
2025/03/28 12:07:00,56.623247,47.123247,42.323247,71.423247
2025/03/28 12:08:00,55.923247,47.423247,42.323247,74.323247
2025/03/28 12:09:00,53.023247,44.623247,41.123247,71.223247
2025/03/28 12:10:00,56.223247,47.323247,41.523247,73.323247
2025/03/28 12:11:00,52.023247,45.623247,41.623247,71.323247
2025/03/28 12:12:00,55.223247,47.023247,41.423247,72.323247
2025/03/28 12:13:00,59.223247,49.923247,42.023247,74.523247
2025/03/28 12:14:00,59.323247,50.723247,41.423247,78.623247
2025/03/28 12:15:00,56.523247,47.923247,41.023247,73.223247
2025/03/28 12:16:00,57.023247,48.723247,41.323247,77.523247
2025/03/28 12:17:00,61.723247,50.823247,41.723247,78.523247
2025/03/28 12:18:00,55.623247,48.323247,41.323247,70.623247
2025/03/28 12:19:00,57.323247,48.223247,41.423247,75.823247
2025/03/28 12:20:00,56.423247,49.423247,41.623247,72.523247
2025/03/28 12:21:00,61.223247,50.823247,42.723247,79.923247
2025/03/28 12:22:00,63.423247,53.223247,40.723247,79.623247
2025/03/28 12:23:00,61.623247,50.923247,34.723247,77.523247
2025/03/28 12:24:00,58.923247,45.223247,32.123247,80.423247
2025/03/28 12:25:00,60.023247,47.923247,32.323247,80.623247
2025/03/28 12:26:00,54.323247,44.923247,32.423247,77.123247
2025/03/28 12:27:00,58.523247,47.523247,32.023247,87.923247
2025/03/28 12:28:00,57.523247,50.223247,37.723247,76.123247
2025/03/28 12:29:00,62.023247,48.923247,32.423247,86.823247
2025/03/28 12:30:00,69.623247,53.423247,32.523247,90.723247
2025/03/28 12:31:00,63.323247,50.923247,33.823247,81.223247
2025/03/28 12:32:00,67.223247,56.323247,42.723247,87.323247
2025/03/28 12:33:00,65.723247,52.523247,36.623247,87.923247
2025/03/28 12:34:00,68.023247,55.323247,46.623247,85.923247
2025/03/28 12:35:00,63.523247,49.223247,33.623247,86.023247
2025/03/28 12:36:00,69.323247,54.623247,33.923247,92.923247
2025/03/28 12:37:00,67.223247,59.623247,46.123247,81.423247
2025/03/28 12:38:00,65.023247,54.323247,42.823247,81.923247
2025/03/28 12:39:00,64.223247,56.223247,36.023247,84.423247
2025/03/28 12:40:00,73.323247,57.923247,35.423247,97.423247
2025/03/28 12:41:00,68.423247,58.323247,38.123247,85.923247
2025/03/28 12:42:00,62.923247,56.323247,49.623247,79.223247
2025/03/28 12:43:00,65.623247,58.623247,50.723247,80.523247
2025/03/28 12:44:00,67.923247,61.623247,52.723247,85.523247
2025/03/28 12:45:00,66.523247,57.523247,45.823247,84.423247
2025/03/28 12:46:00,71.223247,58.023247,44.723247,89.123247
2025/03/28 12:47:00,67.823247,57.323247,43.423247,83.823247
2025/03/28 12:48:00,68.623247,56.923247,43.023247,86.223247
2025/03/28 12:49:00,68.023247,63.423247,52.723247,84.223247
2025/03/28 12:50:00,66.423247,56.523247,41.323247,81.523247
2025/03/28 12:51:00,64.023247,56.223247,42.423247,81.323247
2025/03/28 12:52:00,66.823247,60.623247,48.023247,84.323247
2025/03/28 12:53:00,68.723247,58.923247,45.023247,87.523247
2025/03/28 12:54:00,62.023247,55.223247,44.523247,77.923247
2025/03/28 12:55:00,58.323247,50.123247,44.123247,74.723247
2025/03/28 12:56:00,66.523247,53.723247,43.823247,85.823247
